,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIP Phase,Draft Date,"Voted 
Started","Vote 
Ended",Status,PDF sent to Foundation,Markdown sent to ATMTA,Step #,PIP,PIP Name,Amount,Type,"DAO ROI
What did it accomplish?",Ecosystem Fund?,"Vote 
Result","# of 
Votes","PVP 
Voted (M)","PVP 
Participation","Total 
PVP (M)",Yes,No,Abstain,Category,SAC Term,Note,Total Amount Paid (USDC),Total Amount Left (USDC),Total Amount Paid (ATLAS),Total Amount Left (ATLAS),Completed Milestones,Total Payment Milestones,,,,,,,,,,,,,,,,
Voting,,45483.0,45496.0,Actionable,1,1,10.0,PIP-1,Star Atlas DAO,0.0,,"Created Star Atlas DAO initiative, expectations, and participation venue by community members.",No,Passed,894.0,175.0,0.3234750462,541.0,0.68,0.2887,0.0357,Governance,N/A,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Voting,,45483.0,45496.0,Actionable,1,1,10.0,PIP-2,Foundation,100000.0,USDC,Created company that acted as legal representation to protect the DAO,No,Passed,852.0,176.0,0.325323475,541.0,0.5666,0.392,0.0414,Governance,N/A,,?,,,,1.0,1.0,,,,,,,,,,,,,,,,
Voting,,45497.0,45510.0,Actionable,1,1,10.0,PIP-3,Star Atlas Council,0.0,,Created SA DAO Council voting ability and community representation at leadership level.,No,Passed,479.0,97.0,0.179297597,541.0,0.8701,0.1283,0.0017,Governance,N/A,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Voting,,45497.0,45510.0,Actionable,1,1,10.0,PIP-4,Star Atlas Ecosystem Fund,0.0,,Expedited 20 PIPs to for funding. Expedited low-ATLAS/Dollar projects related to SA community for execution,No,Passed,460.0,96.0,0.1774491682,541.0,0.85,0.1479,0.0021,Ecosystem Fund,N/A,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Voting,,45499.0,45513.0,Actionable,1,1,10.0,PIP-5,Co-Sponsor the Naabathon,6000000.0,ATLAS,Created ATOM Service,YES,Passed,411.0,101.0,0.1866913124,541.0,0.7957,0.197,0.0073,Governance,N/A,,,,6000000.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,
Voting,,45549.0,45556.0,Actionable,1,1,10.0,PIP-6,Council Election #1 - First Round,0.0,,See PIP-3 impact,No,Passed,587.0,161.0,0.2975970425,541.0,N/A,N/A,N/A,Governance,N/A,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Voting,,45562.0,45576.0,Actionable,1,1,10.0,PIP-7,Council Election #1 - Second Round,0.0,,"Elected 5 volunteers giving ~260 hours to SA DAO of 53K tokenholders, established knowledgebase and enacted voting mechanic improvements",No,Passed,576.0,175.0,0.3234750462,541.0,N/A,N/A,N/A,Ecosystem Fund,N/A,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Voting,,45708.0,45714.0,Actionable,1,1,10.0,PIP-8,Star Atlas Comet: Community Meetup at Gamescom 2025,7472.0,Pounds,"70 SA community members attended, built camaraderie of SA community, celebration post had ## impression on X",YES,Passed,285.0,85.0,0.157116451,541.0,0.8529,0.1417,0.0054,Ecosystem Fund,SAC-1,First PIP that had SAC-1 involvement,,,7723034.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,
Voting,,45716.0,45722.0,Actionable,1,1,10.0,PIP-9,Adjust STV Backup Vote Handling to Prevent Unintended Vote Redistribution,0.0,,"Improved voting mechanic by nullifying ""supercharged"" votes that imbalance voting outcomes of PIPs",No,Passed,127.0,61.0,0.112754159,541.0,0.9929,0.0071,0.0,Governance,SAC-1,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Voting,,45716.0,45729.0,Actionable,1,1,10.0,PIP-10,Star Atlas Council: Second Term & Beyond,0.0,,See PIP-3 impact,No,Passed,211.0,86.0,0.1589648799,541.0,0.988,0.0091,0.0029,Governance,SAC-1,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Voting,,45739.0,45753.0,Actionable,1,1,10.0,PIP-11,Council Election #2,0.0,,"5 SAC-3 council members volunteered ~675+ hours over 9 months, completing 147 accomplishments positively affecting the SA DAO ecosystem, paying out 61.5M ATLAS for PIP authors, facilitating voting process for 14 PIPs with 2.2K votes cast, achieving average voter participation rate of 19%, publishing 48 DAO transparency reports",No,Passed,348.0,150.0,0.2772643253,541.0,N/A,N/A,N/A,Governance,SAC-1,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Closed,,45761.0,45774.0,Actionable,1,1,10.0,PIP-12,Iris’s Bounty: The Feast,10000.0,USDC,"## Feast events funded, ## total SA community members attended, built camaraderie of SA community, total celebration post had ## impression on X",YES,Passed,143.0,84.0,0.1552680222,541.0,0.6536,0.1936,0.1527,Ecosystem Fund,SAC-2,,,,7429420.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,
Voting,,45762.0,45775.0,Actionable,1,1,9b,PIP-13,Implementing Term Limits for Star Atlas DAO Council Members,0.0,,N/A,No,Failed,161.0,85.0,0.157116451,541.0,0.2738,0.6848,0.0415,Governance,SAC-2,,,,N/A,,1.0,1.0,,,,,,,,,,,,,,,,
Closed,,45764.0,45777.0,Actionable,1,1,10.0,PIP-14,Deepening THEO Integration into the Star Atlas Economy,10000.0,USDC,None. PIP was terminated due non-performance of PIP deliverables,YES,Passed,176.0,108.0,0.1996303142,541.0,0.9265,0.0692,0.0043,Ecosystem Fund,SAC-2,,,,4462301.0,2.512562814E7,1.0,2.0,,,,,,,,,,,,,,,,
Voting,,45786.0,45799.0,Actionable,1,1,9b,PIP-15,In-Person Community Meetups Platform,9540.0,USDC,N/A,YES,Failed,161.0,104.0,0.1897810219,548.0,0.374,0.5979,0.0281,Ecosystem Fund,SAC-2,,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,
Voting,,45786.0,45799.0,Actionable,1,1,10.0,PIP-16,Ryden Systems,10000.0,USDC,Funded widely used Eveeye project that makes playing SAGE easy with superior information.,YES,Passed,202.0,107.0,0.1952554745,548.0,0.7587,0.0653,0.176,Ecosystem Fund,SAC-2,Transitioning from Eveeye Star Atlas,8464.79,,7985657.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,
Closed,,45807.0,45820.0,Actionable,1,1,10.0,PIP-17,Star Atlas Ecosystem Media Expansion Proposal by Lord Raspy III,2.0E7,ATLAS,None. PIP was canceled due to non-performance of PIP deliverables.,YES,Passed,194.0,111.0,0.2025547445,548.0,0.6061,0.3884,0.0055,Ecosystem Fund,SAC-2,,,,0.0,,0.0,1.0,,Goes into Dashboard in Powerpoint Slides,,,,,,,,,,,,,,
Voting,,45842.0,45855.0,Actionable,1,1,10.0,PIP-18,Marketing & Merch Expansion for Gamescom 2025,5775.0,Euros,Expanded success of PIP-8 by giving more merch out,YES,Passed,116.0,55.0,0.1003649635,548.0,0.7516,0.2079,0.0405,Ecosystem Fund,SAC-2,,,,5781393.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,
Voting,45822.0,45921.0,45935.0,Actionable,1,1,9b,PIP-19,Funding Independent Economic Research and Maintenance of Critical Data Resources [Comprehensive PIP],1.12E7,ATLAS,N/A,YES,Failed,157.0,144.0,0.2513089005,573.0,0.4137,0.5789,0.0073,Ecosystem Fund,SAC-2,,,,N/A,,N/A,N/A,,SAC-1,SAC-2,SAC-3,,,,,,,,,,,,
Voting,45749.0,45931.0,45945.0,Actionable,1,1,10.0,PIP-20,Creation of DAO Caster Role,1.08E7,ATLAS,Elected 5 content creators producing 4 content pieces a month on social media. Earned ## impressions on X and ## views on YouTube. ,YES,Passed,150.0,122.0,0.2114384749,577.0,0.8656,0.1301,0.0042,Ecosystem Fund,SAC-2,,,,4320000.0,5400000.0,0.0,1.0,PIPs Completed Voting,18,14,8,,,,,,,,,,,,
Voting,45859.0,45931.0,45945.0,Actionable,1,1,10.0,PIP-21,Rogue Data Hub (RDH),8820.0,USDC,Funded website that indexes and processes 20 programs (smart contracts) of on-chain Star Atlas data,YES,Passed,184.0,147.0,0.2547660312,577.0,0.5245,0.3753,0.1002,Ecosystem Fund,SAC-2,,2083.0,,7317073.0,3.52251309E7,?,2.0,Total # of Votes,971,2212,1209,,,,,,,,,,,,
Voting,45929.0,45966.0,45979.0,Actionable,1,1,10.0,PIP-22,Iris Bounty - The Arena,1.1E7,ATLAS,Funded 3 self-organized community tournaments which earned top 1% Twitch/10% YouTube livestream channels for 2 months,YES,Passed,117.0,141.0,0.2263,623.0,0.9783,0.019,0.0028,Ecosystem Fund,SAC-2,,,,2000000.0,9000000.0,0.0,1.0,Total PVP Participated,382,1539,1336,M,,,,,,,,,,,
Voting,45941.0,45966.0,45979.0,Actionable,1,1,10.0,PIP-23,Refresh of PIP-4 the Ecosystem Fund,0.0,ATLAS,Clarified and improved upon Ecosystem Fund process and procedures,No,Passed,135.0,111.0,0.1784,623.0,0.7745,0.2184,0.0071,Governance,SAC-2,,,,N/A,,N/A,N/A,Avg Votes per PIP,242.75,158,151.125,,,,,,,,,,,,
Voting,45937.0,45970.0,45983.0,Actionable,1,1,10.0,PIP-24,DAO-Supported Hosting Service,675.0,USDC,"Funded the SLY Assistant automation tool, which enabled players to run SLY accounts autonomously without user interaction. Improved accessibility and uptime for ## Star Atlas players.",YES,Passed,140.0,108.0,0.1723,629.0,0.5905,0.3999,0.0096,Ecosystem Fund,SAC-2,,,,?,?,3.0,3.0,Average PVP Votes,95.5,109.9285714,167,M,,,,,,,,,,,
Voting,45987.0,45987.0,46001.0,Actionable,0,1,10.0,PIP-25,Council Election #3,0.0,USDC,"5 SAC-3 council members volunteered ~8+ hours per month, completing 20 accomplishments positively affecting the SA DAO ecosystem, paying out 1.2M+ ATLAS for PIP authors, facilitating voting process for 6 PIPs with 871 votes cast, achieving average voter participation rate of 23%, publishing 21 DAO transparency reports",No,Passed,176.0,112.0,0.1747269891,641.0,N/A,N/A,N/A,Governance,SAC-2,,,,N/A,,N/A,N/A,Avg PVP Participation,0.1765249538,0.1906579562,0.244538065,,,,,,,,,,,,
Voting,45985.0,46045.0,46059,Actionable,1,1,9a,PIP-26,Star Atlas Crew Adventure Series – Season Production,1.3143639E7,ATLAS,N/A,YES,Failed,147.0,167.0,0.2528,661.0,0.3042,0.5259,0.1699,Ecosystem Fund,SAC-3,First PIP that had SAC-3 involvement,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,
Voting,45692.0,46073.0,46087,Actionable,1,1,10.0,PIP-27,DAO Casters Election: Term 1,0.0,,See PIP-20 ROI,YES,Passed,128.0,147.0,0.2203898051,667.0,N/A,N/A,N/A,Governance,SAC-3,,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,
Voting,46055.0,46073.0,46087,Actionable,1,1,10.0,PIP-28,"Temporary DAO Funding to Preserve Core Lore, Design, and Community Functions",30000.0,USDC,"Retained key SA company member (Jose) from employee layoffs, supporting 7 critical components of the SA ecosystem.",No,Passed,145.0,143.0,0.2147147147,666.0,0.9269,0.0583,0.0148,DAO Treasury,SAC-3,,,,,,?,6.0,,,,,,,,,,,,,,,,
Voting,46050.0,46099.0,46113.0,Actionable,1,1,10.0,PIP-29,PIP-29: Star Atlas Relay Program (Pilot),1.3143639E7,ATLAS,Funded platform that showcases and rewards quality SA content created by community members. Incentivizes participation to enhance social media presence and engagement with web3 community.,YES,Passed,105.0,163.0,0.2433,669.0,0.9645,0.0294,0.0062,Ecosystem Fund,SAC-3,,,,1.3143639E7,0.0,,,,,,,,,,,,,,,,,,
Voting,46070.0,46099.0,46113.0,Actionable,1,1,10.0,PIP-30,PIP-30: ATOM Cloud Infrastructure Sustainability — DAO Funding Pilot,1.3143639E7,ATLAS,"Funded widely used ATOM Cloud, made free for all users until C4. Processes ~100,000 transactions/day for 104 daily active accounts.",YES,Passed,205.0,183.0,0.2732,669.0,0.6087,0.3843,0.007,Ecosystem Fund,SAC-3,,1650.0,,6433164.0,6710475.0,,,,,,,,,,,,,,,,,,
Withdrawn,45964.0,46130.0,46144.0,Actionable,1,1,10.0,PIP-31,PIP-31: Star Seekers Ecosystem Expansion,1.3E7,ATLAS,N/A,YES,Passed,141.0,135.0,0.2009,670.0,0.4003,0.3461,0.2536,Ecosystem Fund,SAC-3,"PIP passed, but withdrawn by PIP Author, will not be implemented",,,,,,,,,,,,,,,,,,,,,,
Voting,46126.0,46168.0,46183.0,Actionable,1,1,10.0,PIP-32,PIP-32: Igniting the Star Atlas Triad Tournament - A Super Phoenix Sports Live Esports Event,1.3576392E7,ATLAS,,YES,Passed,118.0,119.0,0.1747,683.0,0.7409,0.1136,0.1455,Ecosystem Fund,SAC-3,,,,,,,,,,,,,,,,,,,,,,,
Voting,46190.0,46199.0,46214.0,Actionable,1,0,10.0,PIP-33,PIP-33: ATMTA Historic Expense Reimbursement,469513.53,USDC,,NO,,220.0,279.0,0.3763,693.0,0.6103,0.0891,0.3006,DAO Treasury,SAC-3,,,,,,,,,,,,,,,,,,,,,,,
Closed,45964.0,,,Actionable,0,0,4b,,Star Seekers Ecosystem Expansion,1.3E7,ATLAS,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Withdrawn,45747.0,,,Actionable,0,0,4b,,Establishing a Values List for the Star Atlas DAO,0.0,USDC,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Withdrawn,45866.0,,,Non-actionable,0,0,3.0,,The Infinite Star Atlas IP Universe,600000.0,USDC,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Withdrawn,45699.0,,,Actionable,0,0,4b,,DAO Working Groups,6000000.0,ATLAS,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draft,46355.0,,,Actionable,0,0,4a,,Payment for Term-3 Star Atlas DAO Council,1.0E7,ATLAS,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draft,46095.0,,,Actionable,1,1,7.0,,Igniting the Star Atlas Triad Tournament - A Super Phoenix Sports Live Esports Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
